,GEO,year,Labour force,Employment,Population,Part-time employment ,Full-time employment
250,Nova Scotia,1986,404175.0,350583.3333333333,675066.6666666666,59566.666666666664,291033.3333333333
251,Nova Scotia,1987,407716.6666666667,358916.6666666667,680175.0,61383.333333333336,297533.3333333333
252,Nova Scotia,1988,415816.6666666667,373491.6666666667,685133.3333333334,61875.0,311625.0
253,Nova Scotia,1989,423483.3333333333,381766.6666666667,690925.0,65208.333333333336,316558.3333333333
254,Nova Scotia,1990,431650.0,385441.6666666667,696991.6666666666,66075.0,319366.6666666667
255,Nova Scotia,1991,433266.6666666667,380850.0,703450.0,68875.0,311950.0
256,Nova Scotia,1992,424491.6666666667,369008.3333333333,707966.6666666666,69041.66666666667,299966.6666666667
257,Nova Scotia,1993,427958.3333333333,366558.3333333333,712575.0,69100.0,297466.6666666667
258,Nova Scotia,1994,430466.6666666667,372441.6666666667,716483.3333333334,74408.33333333333,298041.6666666667
259,Nova Scotia,1995,427891.6666666667,375933.3333333333,720183.3333333334,75708.33333333333,300216.6666666667
260,Nova Scotia,1996,430500.0,377066.6666666667,724416.6666666666,75791.66666666667,301258.3333333333
261,Nova Scotia,1997,434825.0,382308.3333333333,728125.0,79525.0,302800.0
262,Nova Scotia,1998,442241.6666666667,396050.0,730750.0,77975.0,318075.0
263,Nova Scotia,1999,446350.0,403641.6666666667,734925.0,76966.66666666667,326675.0
264,Nova Scotia,2000,452666.6666666667,411600.0,739108.3333333334,76333.33333333333,335266.6666666667
265,Nova Scotia,2001,460300.0,415425.0,742033.3333333334,74533.33333333333,340891.6666666667
266,Nova Scotia,2002,467325.0,422541.6666666667,747350.0,79625.0,342891.6666666667
267,Nova Scotia,2003,474475.0,431375.0,753000.0,82850.0,348533.3333333333
268,Nova Scotia,2004,484441.6666666667,441750.0,757991.6666666666,83275.0,358475.0
269,Nova Scotia,2005,482841.6666666667,442066.6666666667,760850.0,82966.66666666667,359108.3333333333
270,Nova Scotia,2006,480166.6666666667,440558.3333333333,764025.0,83450.0,357116.6666666667
271,Nova Scotia,2007,486525.0,446675.0,765116.6666666666,83183.33333333333,363491.6666666667
272,Nova Scotia,2008,490441.6666666667,451691.6666666667,767675.0,83175.0,368491.6666666667
273,Nova Scotia,2009,497050.0,450466.6666666667,771541.6666666666,82866.66666666667,367608.3333333333
274,Nova Scotia,2010,500408.3333333333,452516.6666666667,776008.3333333334,86575.0,365941.6666666667
275,Nova Scotia,2011,500108.3333333333,454816.6666666667,779275.0,86358.33333333333,368466.6666666667
276,Nova Scotia,2012,505033.3333333333,458233.3333333333,779866.6666666666,90800.0,367425.0
277,Nova Scotia,2013,500458.3333333333,455366.6666666667,778400.0,89400.0,365966.6666666667
278,Nova Scotia,2014,492250.0,447925.0,777391.6666666666,85700.0,362225.0
279,Nova Scotia,2015,486883.3333333333,444008.3333333333,776783.3333333334,81366.66666666667,362633.3333333333
280,Nova Scotia,2016,483816.6666666667,443225.0,781516.6666666666,82283.33333333333,360908.3333333333
281,Nova Scotia,2017,489291.6666666667,447450.0,788050.0,85358.33333333333,362116.6666666667
282,Nova Scotia,2018,490425.0,452091.6666666667,795775.0,81383.33333333333,370700.0
283,Nova Scotia,2019,501708.3333333333,464716.6666666667,805991.6666666666,86566.66666666667,378158.3333333333
284,Nova Scotia,2020,491816.6666666667,443258.3333333333,814083.3333333334,79141.66666666667,364108.3333333333
285,Nova Scotia,2021,511991.6666666667,468141.6666666667,821325.0,87566.66666666667,380566.6666666667
